ID,Name,Revenue2015,Expenses2015,Profit2015,Growth2015,Revenue2014,Expenses2014,Profit2014,Growth2014,Revenue2013,Expenses2013,Profit2013
39,Daltfase,"$11,410,628.00","$6,196,409.00","$5,214,219.00",375%,"$2,403,255.00","$1,374,611.00","$1,028,644.00",258%,"$671,300.00","$817,467.00","-$146,167.00"
40,Alphalex,"$9,423,617.00","$2,248,331.00","$7,175,285.00",278%,"$2,492,833.00","$631,354.00","$1,861,479.00",269%,"$675,565.00","$208,893.00","$466,672.00"
41,Ozerholdings,"$7,411,035.00","$5,207,964.00","$2,203,071.00",491%,"$1,254,112.00","$935,273.00","$318,839.00",418%,"$242,107.00","$245,455.00","-$3,349.00"
42,Subflex,"$11,205,063.00","$4,368,200.00","$6,836,863.00",420%,"$2,153,863.00","$893,934.00","$1,259,929.00",325%,"$506,791.00","$251,451.00","$255,341.00"
43,Hotlane,"$7,978,332.00","$4,686,574.00","$3,291,759.00",307%,"$1,959,385.00","$1,149,865.00","$809,520.00",322%,"$464,309.00","$321,488.00","$142,821.00"
44,Salttrans,"$7,346,281.00","$3,298,690.00","$4,047,591.00",708%,"$908,734.00","$493,551.00","$415,183.00",700%,"$113,592.00","$61,805.00","$51,787.00"
45,Lathotline,"$9,418,303.00","$7,567,233.00","$1,851,070.00",494%,"$1,586,606.00","$930,607.00","$655,999.00",533%,"$250,649.00","$137,654.00","$112,994.00"
46,E-Care,"$8,365,394.00","$5,976,073.00","$2,389,321.00",546%,"$1,295,938.00","$1,298,166.00","-$2,228.00",611%,"$182,270.00","$153,626.00","$28,644.00"
47,Opedrill,"$7,789,730.00","$2,039,850.00","$5,749,880.00",332%,"$1,804,959.00","$568,643.00","$1,236,316.00",407%,"$356,008.00","$62,508.00","$293,500.00"
48,Lambam,"$6,950,148.00","$4,365,512.00","$2,584,636.00",488%,"$1,181,888.00","$711,255.00","$470,633.00",417%,"$228,605.00","$136,788.00","$91,817.00"
49,Quotedax,"$8,984,621.00","$6,227,869.00","$2,756,752.00",264%,"$2,468,524.00","$2,150,962.00","$317,562.00",266%,"$674,460.00","$409,337.00","$265,123.00"
50,Cityla,"$6,104,275.00","$5,135,359.00","$968,916.00",406%,"$1,205,880.00","$983,735.00","$222,145.00",413%,"$235,064.00","$202,147.00","$32,917.00"
51,Quotecity,"$10,878,837.00","$3,974,483.00","$6,904,353.00",584%,"$1,591,351.00","$563,123.00","$1,028,228.00",620%,"$221,021.00","$71,004.00","$150,017.00"
52,Vaia-Dax,"$10,345,435.00","$4,113,502.00","$6,231,933.00",278%,"$2,740,337.00","$1,291,501.00","$1,448,836.00",64%,"$1,670,937.00","$711,398.00","$959,540.00"
53,Zimkeyfind,"$6,732,003.00","$7,459,279.00","-$727,276.00",251%,"$1,918,791.00","$1,709,045.00","$209,746.00",167%,"$718,648.00","$1,422,732.00","-$704,084.00"
54,Quozap,"$9,304,480.00","$7,019,973.00","$2,284,507.00",353%,"$2,054,688.00","$2,186,711.00","-$132,023.00",363%,"$443,777.00","$514,816.00","-$71,039.00"
55,Medunoway,"$9,849,067.00","$1,454,546.00","$8,394,521.00",390%,"$2,010,861.00","$232,999.00","$1,777,862.00",348%,"$448,853.00","$48,280.00","$400,573.00"
56,Tampware,"$9,785,982.00","$2,910,756.00","$6,875,225.00",429%,"$1,848,861.00","$696,479.00","$1,152,382.00",448%,"$337,383.00","$135,908.00","$201,476.00"
57,Tindex,"$12,159,973.00","$4,909,604.00","$7,250,368.00",427%,"$2,307,883.00","$818,142.00","$1,489,741.00",296%,"$582,799.00","$187,469.00","$395,330.00"
58,Dalthow,"$10,800,718.00","$5,731,820.00","$5,068,898.00",418%,"$2,086,547.00","$941,780.00","$1,144,767.00",491%,"$353,054.00","$137,316.00","$215,738.00"
59,Scotphase,"$8,069,233.00","$6,229,960.00","$1,839,273.00",239%,"$2,376,940.00","$2,912,611.00","-$535,671.00",265%,"$651,216.00","$593,217.00","$57,999.00"
60,Ranktech,"$10,515,557.00","$6,439,384.00","$4,076,173.00",408%,"$2,068,148.00","$1,357,757.00","$710,391.00",598%,"$296,296.00","$203,549.00","$92,747.00"
61,Gogotax,"$5,653,905.00","$6,877,747.00","-$1,223,842.00",593%,"$815,551.00","$867,617.00","-$52,066.00",500%,"$135,925.00","$122,477.00","$13,449.00"
62,Unadex,"$6,231,275.00","$2,388,521.00","$3,842,755.00",542%,"$971,159.00","$402,957.00","$568,202.00",415%,"$188,575.00","$70,282.00","$118,293.00"
63,Haycorporation,"$10,212,233.00","$394,323.00","$9,817,910.00",175%,"$3,710,641.00","$591,306.00","$3,119,335.00",123%,"$1,663,965.00","$270,941.00","$1,393,024.00"
64,Groovecane,"$6,811,168.00","$3,560,343.00","$3,250,824.00",404%,"$1,350,152.00","$954,256.00","$395,896.00",372%,"$286,049.00","$186,874.00","$99,176.00"
65,Funrantex,"$10,609,756.00","$963,096.00","$9,646,660.00",229%,"$3,225,712.00","$195,914.00","$3,029,798.00",205%,"$1,057,610.00","$58,335.00","$999,275.00"
66,Tambase,"$10,141,817.00","$2,394,135.00","$7,747,682.00",427%,"$1,923,163.00","$468,269.00","$1,454,894.00",425%,"$366,317.00","$68,358.00","$297,959.00"
67,Georedfase,"$8,165,222.00","$810,126.00","$7,355,096.00",487%,"$1,391,728.00","$111,040.00","$1,280,688.00",408%,"$273,962.00","$16,757.00","$257,205.00"
68,Konktraxbam,"$12,504,780.00","$4,682,545.00","$7,822,235.00",406%,"$2,471,295.00","$915,291.00","$1,556,004.00",439%,"$458,496.00","$156,077.00","$302,420.00"
69,Stanquote,"$10,421,180.00","$374,816.00","$10,046,364.00",430%,"$1,967,822.00","$63,250.00","$1,904,572.00",457%,"$353,289.00","$13,349.00","$339,940.00"
70,Lexiholding,"$6,595,798.00","$4,917,351.00","$1,678,447.00",495%,"$1,108,284.00","$609,378.00","$498,906.00",406%,"$219,028.00","$162,705.00","$56,323.00"
71,Incon,"$12,433,991.00","$1,149,020.00","$11,284,971.00",361%,"$2,694,461.00","$266,690.00","$2,427,771.00",357%,"$589,598.00","$64,572.00","$525,025.00"
72,Inconduo,"$8,822,677.00","$714,459.00","$8,108,218.00",298%,"$2,219,506.00","$173,750.00","$2,045,756.00",254%,"$626,979.00","$128,540.00","$498,439.00"
73,Mediahex,"$9,772,570.00","$3,685,640.00","$6,086,930.00",460%,"$1,745,387.00","$573,136.00","$1,172,251.00",317%,"$418,558.00","$178,160.00","$240,398.00"
74,Triojob,"$7,403,633.00","$667,051.00","$6,736,582.00",287%,"$1,915,218.00","$255,029.00","$1,660,189.00",254%,"$541,022.00","$84,395.00","$456,627.00"
75,Quadice,"$5,627,074.00","$1,693,553.00","$3,933,521.00",620%,"$782,062.00","$312,898.00","$469,164.00",509%,"$128,417.00","$56,048.00","$72,370.00"
76,Sanfan,"$12,127,885.00","$3,971,036.00","$8,156,848.00",520%,"$1,956,855.00","$749,855.00","$1,207,000.00",387%,"$401,818.00","$146,432.00","$255,387.00"
77,D-Is,"$8,374,283.00","$2,857,916.00","$5,516,367.00",334%,"$1,927,397.00","$644,455.00","$1,282,942.00",311%,"$468,953.00","$152,272.00","$316,681.00"
78,Latfan,"$8,396,546.00","$1,851,054.00","$6,545,492.00",417%,"$1,625,524.00","$418,702.00","$1,206,822.00",467%,"$286,689.00","$66,862.00","$219,827.00"
79,Ining,"$11,022,415.00","$1,810,516.00","$9,211,899.00",441%,"$2,038,359.00","$540,791.00","$1,497,568.00",475%,"$354,497.00","$89,666.00","$264,831.00"
80,D-Zoocare,"$7,153,440.00","$4,445,885.00","$2,707,554.00",557%,"$1,089,577.00","$639,290.00","$450,287.00",416%,"$211,158.00","$102,880.00","$108,279.00"
81,O-Dax,"$12,919,391.00","$3,666,990.00","$9,252,401.00",344%,"$2,908,423.00","$753,128.00","$2,155,295.00",311%,"$707,646.00","$193,921.00","$513,725.00"
82,Solocone,"$12,658,910.00","$4,501,133.00","$8,157,777.00",343%,"$2,857,222.00","$822,602.00","$2,034,620.00",327%,"$669,139.00","$646,408.00","$22,730.00"
83,Zun-Trax,"$7,732,190.00","$4,437,655.00","$3,294,535.00",255%,"$2,177,854.00","$1,563,423.00","$614,431.00",162%,"$831,242.00","$569,810.00","$261,432.00"
84,Biotain,"$11,642,543.00","$4,781,280.00","$6,861,263.00",591%,"$1,685,613.00","$737,946.00","$947,667.00",478%,"$291,629.00","$123,926.00","$167,702.00"
85,Icezap,"$9,235,777.00","$3,361,790.00","$5,873,987.00",321%,"$2,193,796.00","$654,445.00","$1,539,351.00",331%,"$509,001.00","$178,653.00","$330,348.00"
86,Newjofix,"$10,339,863.00","$3,415,312.00","$6,924,552.00",519%,"$1,670,845.00","$578,737.00","$1,092,108.00",512%,"$273,014.00","$86,010.00","$187,004.00"
87,Opetechno,"$9,898,288.00","$5,885,439.00","$4,012,849.00",534%,"$1,562,148.00","$1,224,817.00","$337,331.00",372%,"$330,964.00","$290,325.00","$40,639.00"
88,Zathline,"$9,738,858.00","$4,398,323.00","$5,340,535.00",335%,"$2,239,600.00","$1,002,713.00","$1,236,887.00",270%,"$605,297.00","$453,630.00","$151,668.00"
89,Ozer-Dox,"$9,621,471.00","$4,759,243.00","$4,862,227.00",395%,"$1,945,051.00","$1,473,565.00","$471,486.00",308%,"$476,728.00","$317,904.00","$158,824.00"
90,Iscom,"$8,027,658.00","$5,221,158.00","$2,806,499.00",353%,"$1,772,083.00","$920,479.00","$851,604.00",480%,"$305,532.00","$129,427.00","$176,105.00"
91,Freshtechno,"$10,603,211.00","$6,075,482.00","$4,527,729.00",416%,"$2,054,449.00","$950,831.00","$1,103,618.00",353%,"$453,521.00","$193,507.00","$260,014.00"
92,Istone,"$5,424,720.00","$461,975.00","$4,962,745.00",477%,"$940,274.00","$87,598.00","$852,676.00",276%,"$250,073.00","$21,565.00","$228,508.00"
93,Domtam,"$10,795,733.00","$821,994.00","$9,973,739.00",508%,"$1,776,853.00","$120,039.00","$1,656,814.00",412%,"$347,042.00","$22,165.00","$324,877.00"
94,Ganzgreen,"$6,598,854.00","$4,602,002.00","$1,996,852.00",356%,"$1,448,595.00","$1,025,590.00","$423,005.00",297%,"$364,885.00","$186,787.00","$178,098.00"
95,Zamhouse,"$7,543,695.00","$6,561,021.00","$982,674.00",339%,"$1,717,421.00","$1,221,351.00","$496,070.00",464%,"$304,507.00","$354,247.00","-$49,739.00"
96,Openjocon,"$11,374,343.00","$4,273,207.00","$7,101,136.00",362%,"$2,462,478.00","$861,464.00","$1,601,014.00",247%,"$709,648.00","$202,321.00","$507,327.00"
97,Trisity,"$6,918,290.00","$6,344,372.00","$573,918.00",184%,"$2,438,295.00","$1,726,809.00","$711,486.00",252%,"$692,697.00","$526,439.00","$166,258.00"
98,Planetice,"$10,757,724.00","$4,782,077.00","$5,975,646.00",261%,"$2,979,055.00","$1,187,745.00","$1,791,310.00",46%,"$2,040,449.00","$1,438,568.00","$601,881.00"
99,Canunoice,"$6,978,995.00","$4,814,152.00","$2,164,843.00",375%,"$1,470,433.00","$1,059,672.00","$410,761.00",185%,"$515,941.00","$301,011.00","$214,931.00"
100,Villadox,"$8,651,649.00","$1,097,353.00","$7,554,297.00",554%,"$1,322,594.00","$138,479.00","$1,184,115.00",555%,"$201,923.00","$23,457.00","$178,466.00"
101,Alphacane,"$5,903,763.00","$5,873,666.00","$30,098.00",495%,"$992,341.00","$1,112,609.00","-$120,268.00",452%,"$179,772.00","$212,534.00","-$32,762.00"
102,Rankcone,"$6,036,944.00","$8,837,188.00","-$2,800,244.00",507%,"$994,709.00","$1,393,253.00","-$398,544.00",281%,"$261,078.00","$427,510.00","-$166,431.00"
103,Iceice,"$6,352,466.00","$455,581.00","$5,896,885.00",352%,"$1,406,250.00","$83,441.00","$1,322,809.00",353%,"$310,430.00","$20,215.00","$290,215.00"
104,Hex-Ity,"$11,250,184.00","$5,912,242.00","$5,337,942.00",439%,"$2,085,672.00","$1,302,976.00","$782,696.00",364%,"$449,498.00","$275,224.00","$174,274.00"
105,Fixquadtech,"$8,299,901.00","$4,968,474.00","$3,331,428.00",375%,"$1,746,694.00","$1,230,324.00","$516,370.00",157%,"$679,647.00","$1,055,314.00","-$375,666.00"
106,Zonhigh,"$7,723,684.00","$4,498,099.00","$3,225,585.00",385%,"$1,592,562.00","$1,052,952.00","$539,610.00",531%,"$252,387.00","$125,429.00","$126,958.00"
107,Mathcorporation,"$2,663,591.00","$5,507,261.00","-$2,843,670.00",406%,"$526,760.00","$1,327,354.00","-$800,594.00",431%,"$99,202.00","$265,310.00","-$166,109.00"
108,Toughway,"$11,442,136.00","$5,291,056.00","$6,151,079.00",357%,"$2,505,231.00","$1,032,118.00","$1,473,113.00",467%,"$441,840.00","$202,470.00","$239,369.00"
109,Bluetexon,"$7,685,910.00","$8,350,913.00","-$665,002.00",395%,"$1,552,378.00","$1,466,281.00","$86,097.00",311%,"$377,708.00","$326,865.00","$50,843.00"
110,Nimvivafind,"$9,605,855.00","$4,632,247.00","$4,973,608.00",334%,"$2,215,168.00","$1,003,981.00","$1,211,187.00",299%,"$555,180.00","$173,591.00","$381,589.00"
111,Eremenko,"$9,445,633.00","$5,162,905.00","$4,282,728.00",515%,"$1,534,906.00","$908,273.00","$626,633.00",588%,"$223,097.00","$99,882.00","$123,215.00"
112,Keycone,"$8,951,131.00","$4,213,650.00","$4,737,481.00",526%,"$1,430,213.00","$674,099.00","$756,114.00",581%,"$210,017.00","$130,574.00","$79,443.00"
113,Hot-Electrics,"$12,214,068.00","$1,412,142.00","$10,801,926.00",595%,"$1,757,183.00","$194,909.00","$1,562,274.00",569%,"$262,658.00","$36,652.00","$226,006.00"
114,Namdom,"$9,362,411.00","$2,544,307.00","$6,818,104.00",251%,"$2,664,221.00","$687,435.00","$1,976,786.00",171%,"$983,107.00","$831,320.00","$151,787.00"
115,Betais,"$7,517,507.00","$4,304,315.00","$3,213,192.00",454%,"$1,356,874.00","$658,366.00","$698,508.00",423%,"$259,441.00","$149,844.00","$109,597.00"
116,Tempbam,"$9,980,591.00","$6,089,130.00","$3,891,461.00",353%,"$2,200,825.00","$1,215,680.00","$985,145.00",207%,"$716,881.00","$254,423.00","$462,458.00"
117,Goodhouse,"$9,833,220.00","$5,667,425.00","$4,165,795.00",388%,"$2,014,008.00","$1,423,714.00","$590,294.00",414%,"$391,830.00","$202,886.00","$188,944.00"
118,Trisbam,"$7,201,918.00","$1,155,786.00","$6,046,132.00",256%,"$2,020,700.00","$312,437.00","$1,708,263.00",230%,"$612,333.00","$293,116.00","$319,217.00"
119,Technoline,"$9,069,262.00","$5,346,509.00","$3,722,752.00",384%,"$1,872,336.00","$1,085,267.00","$787,069.00",501%,"$311,537.00","$146,749.00","$164,788.00"
120,Biokaycane,"$9,802,438.00","$5,568,391.00","$4,234,048.00",450%,"$1,782,064.00","$1,341,578.00","$440,486.00",546%,"$275,861.00","$252,302.00","$23,559.00"
121,Truelane,"$6,071,997.00","$4,171,805.00","$1,900,192.00",402%,"$1,209,910.00","$627,576.00","$582,334.00",287%,"$312,638.00","$193,071.00","$119,568.00"
122,Zimdex,"$4,475,874.00","$2,054,338.00","$2,421,536.00",553%,"$685,090.00","$283,306.00","$401,784.00",485%,"$117,109.00","$36,800.00","$80,309.00"
123,Remedia,"$8,687,895.00","$5,578,395.00","$3,109,500.00",295%,"$2,197,037.00","$2,645,889.00","-$448,852.00",338%,"$501,607.00","$673,659.00","-$172,052.00"
124,Sumzoomit,"$8,429,577.00","$7,703,652.00","$725,925.00",369%,"$1,797,578.00","$1,610,956.00","$186,622.00",353%,"$396,816.00","$246,996.00","$149,821.00"
125,Goodtex,"$13,118,996.00","$8,860,686.00","$4,258,310.00",354%,"$2,886,547.00","$2,735,336.00","$151,211.00",370%,"$614,159.00","$744,188.00","-$130,030.00"
126,Ranquote,"$7,147,363.00","$7,206,340.00","-$58,977.00",508%,"$1,175,494.00","$1,738,027.00","-$562,533.00",428%,"$222,631.00","$303,814.00","-$81,182.00"
127,Zathtone,"$9,953,759.00","$4,069,681.00","$5,884,078.00",292%,"$2,538,462.00","$1,234,516.00","$1,303,946.00",305%,"$626,781.00","$294,389.00","$332,392.00"
128,Vivacode,"$9,410,642.00","$4,117,102.00","$5,293,540.00",445%,"$1,726,311.00","$621,375.00","$1,104,936.00",517%,"$279,791.00","$133,109.00","$146,682.00"
129,Canesailfax,"$7,806,395.00","$5,364,670.00","$2,441,725.00",441%,"$1,442,919.00","$915,832.00","$527,087.00",351%,"$319,938.00","$197,782.00","$122,156.00"
130,Dongcom,"$12,477,085.00","$2,772,159.00","$9,704,926.00",386%,"$2,569,461.00","$540,997.00","$2,028,464.00",407%,"$506,797.00","$88,873.00","$417,924.00"
131,Hatlane,"$8,738,360.00","$6,934,957.00","$1,803,402.00",306%,"$2,150,478.00","$1,525,291.00","$625,187.00",189%,"$744,110.00","$696,369.00","$47,741.00"
132,Hexhouse,"$11,221,740.00","$1,885,810.00","$9,335,930.00",258%,"$3,133,558.00","$370,170.00","$2,763,388.00",57%,"$1,995,897.00","$180,589.00","$1,815,308.00"
133,Jobzencane,"$8,482,411.00","$2,379,903.00","$6,102,508.00",368%,"$1,811,035.00","$398,437.00","$1,412,598.00",237%,"$537,399.00","$135,331.00","$402,068.00"
134,Sailtech,"$5,543,509.00","$4,474,647.00","$1,068,862.00",382%,"$1,149,198.00","$969,300.00","$179,898.00",295%,"$290,936.00","$191,396.00","$99,540.00"
135,Vilacan,"$10,916,975.00","$5,973,654.00","$4,943,321.00",485%,"$1,866,971.00","$1,075,281.00","$791,690.00",339%,"$425,278.00","$245,576.00","$179,702.00"
136,Stattechno,"$6,619,705.00","$7,082,936.00","-$463,231.00",403%,"$1,316,414.00","$1,081,421.00","$234,993.00",,,,
137,Conin,"$9,903,489.00","$6,042,545.00","$3,860,945.00",326%,"$2,326,748.00","$943,160.00","$1,383,588.00",216%,"$736,313.00","$507,344.00","$228,969.00"
138,Vaiaelectronics,"$9,055,903.00","$6,349,125.00","$2,706,778.00",392%,"$1,841,425.00","$1,457,792.00","$383,633.00",,,,
139,Donelectronics,"$8,109,638.00","$2,313,289.00","$5,796,349.00",347%,"$1,814,403.00","$488,652.00","$1,325,751.00",,,,
140,Rezumfind,"$9,024,010.00","$3,101,952.00","$5,922,059.00",557%,"$1,373,449.00","$378,003.00","$995,446.00",345%,"$308,640.00","$92,019.00","$216,621.00"
141,Techitom,"$13,245,601.00","$2,667,573.00","$10,578,028.00",337%,"$3,030,532.00","$573,313.00","$2,457,219.00",259%,"$844,159.00","$153,895.00","$690,265.00"
142,Bamtexon,"$12,577,936.00","$4,253,254.00","$8,324,681.00",321%,"$2,989,750.00","$897,522.00","$2,092,228.00",218%,"$940,173.00","$188,272.00","$751,901.00"
143,Xx--Fase,"$9,048,981.00","$3,944,877.00","$5,104,104.00",437%,"$1,684,371.00","$755,853.00","$928,518.00",370%,"$358,377.00","$147,442.00","$210,935.00"
144,Spandom,"$9,127,163.00","$3,885,106.00","$5,242,057.00",460%,"$1,628,900.00","$693,573.00","$935,327.00",431%,"$306,761.00","$216,204.00","$90,557.00"
145,Zimstrip,"$5,908,577.00","$3,106,150.00","$2,802,427.00",213%,"$1,890,439.00","$995,087.00","$895,352.00",,,,
146,Stiming,"$4,779,076.00","$594,698.00","$4,184,379.00",463%,"$848,376.00","$116,134.00","$732,242.00",,,,
147,Tripplehow,"$8,992,759.00","$5,398,172.00","$3,594,588.00",374%,"$1,896,249.00","$1,338,363.00","$557,886.00",314%,"$458,031.00","$336,285.00","$121,747.00"
148,E-Can,"$6,218,086.00","$4,958,881.00","$1,259,205.00",459%,"$1,113,058.00","$585,581.00","$527,477.00",383%,"$230,447.00","$212,461.00","$17,986.00"
149,Ganjadox,"$9,834,266.00","$3,615,766.00","$6,218,500.00",364%,"$2,118,017.00","$558,230.00","$1,559,787.00",366%,"$454,510.00","$107,767.00","$346,743.00"
150,Volhouse,"$9,359,151.00","$3,627,536.00","$5,731,615.00",538%,"$1,465,945.00","$538,923.00","$927,022.00",778%,"$166,964.00","$71,078.00","$95,886.00"
151,Tonjob,"$6,475,261.00","$4,364,775.00","$2,110,486.00",318%,"$1,548,426.00","$2,154,127.00","-$605,701.00",190%,"$533,940.00","$1,471,251.00","-$937,311.00"
152,Flextone,"$8,335,149.00","$4,494,384.00","$3,840,765.00",469%,"$1,464,129.00","$745,167.00","$718,962.00",511%,"$239,628.00","$148,696.00","$90,933.00"
153,Hatelectronics,"$9,145,450.00","$6,303,002.00","$2,842,448.00",389%,"$1,870,672.00","$1,309,552.00","$561,120.00",245%,"$542,224.00","$472,897.00","$69,327.00"
